Color,Normalized Value,Format(s) Found,Token,Semantic Role,Consumers,Occurrences,Status
#444047,#444047,HEX,--beeday-color-button-confirmation-cancel-outline,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#4456c9,#4456c9,HEX,--beeday-color-attribute-intelligence,Attribute category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#45c46b,#45c46b,HEX,--beeday-game-green,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#46b976,#46b976,HEX,--beeday-color-button-success-bg-hover,Success/Income/Positive; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#4b087d,#4b087d,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/ProfileCreation/Pages/Welcome.razor.css:1,1,HARDCODED
#514858,#514858,HEX,--beeday-color-text-secondary,Neutral text,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#57151a,#57151a,HEX,--beeday-color-button-danger-shadow,Danger/Expense/Negative; Shadow/depth; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#5a4b62,#5a4b62,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
#5a565d,#5a565d,HEX,--beeday-color-button-confirmation-cancel-shadow,Shadow/depth; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#5f410d,#5f410d,HEX,--beeday-color-button-warning-shadow,Warning; Shadow/depth; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#613ca2,#613ca2,HEX,--beeday-color-project-dark,Project category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#665d70,#665d70,HEX,--beeday-color-card-meta-text,Card; Neutral text,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#691a20,#691a20,HEX,--beeday-color-button-danger-outline,Danger/Expense/Negative; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#6f6875,#6f6875,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Components/ActivityFilterBar.razor.css:1,1,HARDCODED
#706777,#706777,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
#746b7b,#746b7b,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
#817789,#817789,HEX,--beeday-color-text-muted,Neutral text,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#8b8491,#8b8491,HEX,--beeday-habit-color-white-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#92239a,#92239a,HEX,--beeday-color-todo-dark,Todo category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#9b6508,#9b6508,HEX,--beeday-color-button-warning-outline,Warning; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#9d1c1c,#9d1c1c,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#9f2a32,#9f2a32,HEX,--beeday-color-button-danger-depth,Danger/Expense/Negative; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#a90f15,#a90f15,HEX,--beeday-habit-color-red-strong-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#aaa2b1,#aaa2b1,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Pages/Home.razor.css:1,1,HARDCODED
#aaa4b2,#aaa4b2,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Components/ActivityFilterBar.razor.css:1,1,HARDCODED
#b23a86,#b23a86,HEX,--beeday-color-attribute-vitality,Attribute category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#b32121,#b32121,HEX,--beeday-color-danger-hover,Danger/Expense/Negative,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#b3261e,#b3261e,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/ProfileCreation/Pages/CreateProfile.razor.css:1,1,HARDCODED
#b3432f,#b3432f,HEX,--beeday-color-attribute-strength,Attribute category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#b8b1c0,#b8b1c0,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:1,1,HARDCODED
#b9dfc3,#b9dfc3,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#bf2ec7,#bf2ec7,HEX,--beeday-color-todo,Todo category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#c6bdd0,#c6bdd0,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:1,1,HARDCODED
#c7a91f,#c7a91f,HEX,--beeday-button-depth,Button state,src/BeeDay.Web/Components/Features/Home/Pages/Home.razor.css:1,1,DERIVED STATE
#c8d7ed,#c8d7ed,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Home/Pages/Home.razor.css:1,1,HARDCODED
#c9820d,#c9820d,HEX,--beeday-color-button-warning-depth,Warning; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#cecece,#cecece,HEX,--beeday-color-border-strong,Neutral border,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#d33b46,#d33b46,HEX,--beeday-color-danger,Danger/Expense/Negative,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#d71920,#d71920,HEX,--beeday-habit-color-red-strong,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#d7d5d8,#d7d5d8,HEX,--beeday-color-button-confirmation-cancel-depth,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#d89b22,#d89b22,HEX,--beeday-color-warning,Warning,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#d93640,#d93640,HEX,--beeday-habit-color-red-medium-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#d94c57,#d94c57,HEX,--beeday-color-button-danger-bg-hover,Danger/Expense/Negative; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#d9d2e8,#d9d2e8,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#d9d4df,#d9d4df,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Habits/Components/HabitEditorModal.razor.css:1,1,HARDCODED
#ded8e7,#ded8e7,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Experience/Components/ExperienceBar.razor.css:1,1,HARDCODED
#dfa234,#dfa234,HEX,--beeday-habit-color-yellow-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#e2f5e9,#e2f5e9,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/feedback.css:1,1,HARDCODED
#e4dfe6,#e4dfe6,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
#e50000,#e50000,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#e5e5e5,#e5e5e5,HEX,--beeday-color-border,Neutral border,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#e7e7e7,#e7e7e7,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:1,1,LEGACY
#e7f0f4,#e7f0f4,HEX,--beeday-color-info-soft,Info,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#e8f7ee,#e8f7ee,HEX,--beeday-color-success-soft,Success/Income/Positive,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#e98189,#e98189,HEX,--beeday-habit-color-red-light-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#ebe9ec,#ebe9ec,HEX,--beeday-color-board-surface,Neutral surface,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#eee9f0,#eee9f0,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
#eeeeee,#eeeeee,HEX,--beeday-color-surface-subtle,Neutral surface,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#eef0ff,#eef0ff,HEX,--beeday-color-brand-primary-soft,Brand,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL BRAND
#eefaf1,#eefaf1,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#ef4455,#ef4455,HEX,--beeday-game-red,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#efb9b9,#efb9b9,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#f0edf2,#f0edf2,HEX,--beeday-color-card-meta-bg,Card,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#f1f1f1,#f1f1f1,HEX,--beeday-color-button-confirmation-cancel-bg-hover,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#f3b82f,#f3b82f,HEX,--beeday-color-card-star,Card,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#f3ecff,#f3ecff,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/identity.css:1,1,HARDCODED
#f4edff,#f4edff,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Onboarding/Pages/Tutorial.razor.css:1,1,HARDCODED
#f5b942,#f5b942,HEX,--beeday-color-button-warning-bg,Warning; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#f5d75b,#f5d75b,HEX,--beeday-button-background-hover,Button state,src/BeeDay.Web/Components/Features/Home/Pages/Home.razor.css:1,1,DERIVED STATE
#f7f6f8,#f7f6f8,HEX,--beeday-habit-color-white,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#f7f7f7,#f7f7f7,HEX,--beeday-color-surface-muted,Neutral surface,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#f8f7f9,#f8f7f9,HEX,--beeday-color-chrome-icon-surface,Neutral surface,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL NEUTRAL
#faf7fc,#faf7fc,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Onboarding/Pages/Tutorial.razor.css:1,1,HARDCODED
#fbdb6b,#fbdb6b,HEX,--beeday-color-brand-yellow-hover,Brand,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL BRAND
#fbfcff,#fbfcff,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#fde8e8,#fde8e8,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/feedback.css:1,1,HARDCODED
#ff5a62,#ff5a62,HEX,--beeday-habit-color-red-medium,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#ffb3b8,#ffb3b8,HEX,--beeday-habit-color-red-light,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#ffc15a,#ffc15a,HEX,--beeday-habit-color-yellow,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#ffc85d,#ffc85d,HEX,--beeday-color-button-warning-bg-hover,Warning; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#ffe49a,#ffe49a,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/animations.css:1,1,HARDCODED
#ffe88d,#ffe88d,HEX,--beeday-color-brand-yellow,Brand,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL BRAND
#fff0f0,#fff0f0,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#fff0f1,#fff0f1,HEX,--beeday-color-danger-soft,Danger/Expense/Negative,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#fff5dc,#fff5dc,HEX,--beeday-color-warning-soft,Warning,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#fffdf7,#fffdf7,HEX,--beeday-game-paper,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
"rgba(0, 0, 0, 0.4)",rgba(0 0 0 / 0.400),RGBA,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Layout/ReconnectModal.razor.css:1,1,DERIVED STATE
"rgba(0, 107, 179, 0.3)",rgba(0 107 179 / 0.300),RGBA,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:1,1,LEGACY
rgb(102 65 166 / 14%),rgba(102 65 166 / 0.140),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Dashboard/Components/ActivityFilterBar.razor.css:1,1,DERIVED STATE
rgb(157 112 0 / 9%),rgba(157 112 0 / 0.090),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/animations.css:1,1,DERIVED STATE
