PixelIconName,SymbolId,Provider,SourceName,Folder,Category,Variant,License
Level,level,MaterialSymbols,military_tech,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Wallet,wallet,MaterialSymbols,account_balance_wallet,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Income,income,MaterialSymbols,payments,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Expense,expense,MaterialSymbols,money_off,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Statistics,statistics,MaterialSymbols,monitoring,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
TrendUp,trend-up,MaterialSymbols,trending_up,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
TrendDown,trend-down,MaterialSymbols,trending_down,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Streak,streak,MaterialSymbols,repeat,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Completed,completed,MaterialSymbols,task_alt,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Pending,pending,MaterialSymbols,hourglass_empty,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Settings,settings,MaterialSymbols,settings,system,System,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Lock,lock,MaterialSymbols,lock,system,System,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
